ОКПО;ИНН;Грузоотправитель;Холдинг грузоотправителя
27370713;6454116279;СОЛАНА-ГРУПП, ООО;Прочие
27880168;2540193632;СОЛДИС, ООО;Прочие
29920796;7714935570;СОЛИД-БУНКЕР, ООО;Прочие
54307172;5503270450;СОЛИД-ОМСК-НБ, ООО;Прочие
31659394;5009115541;СОЛЛО, ООО;Прочие
16816726;1021506287;СОЛОМЕНСКИЙ ЛЕСОЗАВОД, ООО;Прочие
38581324;2464243832;СОЛОМОН, ООО;Прочие
53945143;5044093227;СОЛСТЕК, ООО;Прочие
69880090;5904242235;СОНИКС, ООО;Прочие
72514839;1212004168;СОПЗ, ООО;Прочие
5795731;5908001417;СОРБЕНТ, АО;Прочие
69395383;5617020920;СОРОЧИНСКИЙ МЭЗ, ООО;"АО ""ЭТАЛОН"""
15025916;1001276733;СОРТАВАЛЬСКИЙ ЛЕСОЗАВОД, ООО;Прочие
14687213;5224004177;СОСНА, ООО;Прочие
60650106;2724126957;СОСНОВАЯ ЛИНИЯ, ООО;Прочие
87065034;3804999814;СОСНОВСКИЙ ЛПК, ООО;Прочие
87848003;6658320970;СОСЬВА-ЛЕС, ООО;Прочие
59267023;3900010222;СОТРАЙД, ООО;Прочие
87553940;7703670379;СОФРИНО-ГАЗ, ООО;Прочие
11035250;6316198118;СОФЬЯ, ООО;Прочие
51837412;6671269120;СОЮЗ ТРЕЙД, ООО;Прочие
10306651;2703078734;СОЮЗ, ООО;Прочие
15555057;3804110898;СОЮЗ, ООО;Прочие
68401414;2816008696;СОЮЗ, ООО;Прочие
32170318;5446116033;СОЮЗ, ООО ПК;Прочие
47772974;6417001953;СОЮЗ, СПСК;Прочие
73539818;3906410153;СОЮЗ-22, ООО;Прочие
33537815;6350021417;СОЮЗ-АГРО САМАРА, ООО;Прочие
25952055;4421004632;СОЮЗ-ЛЕС, ООО;Прочие
69595573;7720703634;СОЮЗ-ТРАНЗИТ, ООО;Прочие
401294;4003038151;СОЮЗ-ЦЕНТР, ООО КМДК;Прочие
50012764;7816151039;СОЮЗБАЛТКОМПЛЕКТ, ООО;Прочие
14879832;4345065140;СОЮЗВТОРМЕТ, ООО;Прочие
72874957;7604067875;СОЮЗМЕТАЛЛ, ООО;Прочие
50863427;7805128510;СОЮЗХИМТРАНС ИНТЕРНЕШИНЕЛ, АО;Прочие
51314154;2723040908;СОЯ, ЗАО;Прочие
57641003;6671316620;СП ПЕРСПЕКТИВА, ООО;Прочие
36957334;7813633059;СП ПЕТРОГАЗ СЕРВИС, ООО;Прочие
88258670;2536212836;СПАСТРАНС, ООО;Прочие
15277546;1435277666;СПГ, ООО;Прочие
51529966;6167202950;СПЕККО, ООО;Прочие
18527073;7724193494;СПЕКТА ИНТЕРПАК, ООО;Прочие
21011812;5404476098;СПЕКТР, ООО;Прочие
27233778;9729264537;СПЕЦАВТО, ООО;Прочие
57953748;7705414885;СПЕЦАВТОМАТИКАСЕРВИС, ООО;Прочие
47464362;2330024652;СПЕЦАГРОПРОМКОМПЛЕКТ, ОАО;Прочие
22689901;0265040915;СПЕЦБЕТОН, ООО;Прочие
6208859;2808001400;СПЕЦГЕОТРАНС, ООО;Прочие
37096650;2312187037;СПЕЦКАРГОТРАНС, ООО;Прочие
10948384;4322011332;СПЕЦЛЕСКОМ, ООО;Прочие
1100005;7708587205;СПЕЦМОСТОТРЕСТ -ФЛ АО РЖДСТРОЙ, СМТ;Прочие
136722;3441009323;СПЕЦНЕФТЕМАТЕРИАЛЫ, АО;Прочие
56881834;5025016178;СПЕЦПРОКАТ, ООО ТСФ;Прочие
