etsng_code;etsng_name;cargo_group_code;cargo_group_name
331139;ГАРТБЛЕЙ;10;Остальные грузы
331143;ГАФНИЙ;10;Остальные грузы
331158;ГЕРМАНИЙ;10;Остальные грузы
331162;ДЮРАЛЮМИНИЙ;10;Остальные грузы
331177;ИНДИЙ;10;Остальные грузы
331181;КАДМИЙ (МЕТАЛЛ);10;Остальные грузы
331196;КОБАЛЬТ;10;Остальные грузы
331209;КОНСТАНТАН;10;Остальные грузы
331213;ЛАТУНЬ;10;Остальные грузы
331228;ЛИГАТУРА ЦВЕТНЫХ МЕТАЛЛОВ;10;Остальные грузы
331232;ЛИТИЙ;10;Остальные грузы
331247;МАГНИЙ-ПОРОШОК;10;Остальные грузы
331251;МЕДЬ;10;Остальные грузы
331266;МЕЛЬХИОР;10;Остальные грузы
331270;МЕТАЛЛЫ ДРАГОЦЕННЫЕ И ИХ СПЛАВЫ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
331292;МЕТАЛЛЫ ЦВЕТНЫЕ В БОЛВАНКАХ, ЗАГОТОВКАХ, СЛИТКАХ, ЧУШКАХ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
331302;МОЛИБДЕН МЕТАЛЛИЧЕСКИЙ;10;Остальные грузы
331317;НИКЕЛЬ;10;Остальные грузы
331321;НИОБИЙ, ПОРОШОК;10;Остальные грузы
331336;НИХРОМ;10;Остальные грузы
331340;ОЛОВО;10;Остальные грузы
331355;ПОБЕДИТ;10;Остальные грузы
331369;ПОРОШКИ ЦВЕТНЫХ МЕТАЛЛОВ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
331374;ПОТАЛЬ;10;Остальные грузы
331389;ПРИПОИ;10;Остальные грузы
331393;РТУТЬ;10;Остальные грузы
331406;СВИНЕЦ;10;Остальные грузы
331410;СЕЛЕН ТЕХНИЧЕСКИЙ, ПОРОШОК;10;Остальные грузы
331425;СЕРЕБРО СУСАЛЬНОЕ;10;Остальные грузы
331435;СИЛУМИН;10;Остальные грузы
331444;СПЛАВЫ ДЛЯ ПОДШИПНИКОВ;10;Остальные грузы
331459;СПЛАВЫ ДЛЯ ТИПОГРАФСКИХ ШРИФТОВ;10;Остальные грузы
331463;СУРЬМА;10;Остальные грузы
331478;СПЛАВЫ ЦВЕТНЫХ МЕТАЛЛОВ В БОЛВАНКАХ, СЛИТКАХ, ЧУШКАХ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
331482;ТАЛЛИЙ;10;Остальные грузы
331497;ТЕЛЛУР;10;Остальные грузы
331501;ТЕРМИТ;10;Остальные грузы
331514;ТИНОЛЬ;10;Остальные грузы
331529;ТИТАН ГУБЧАТЫЙ;10;Остальные грузы
331533;ТИТАНО-ВОЛЬФРАМ;10;Остальные грузы
331548;ТОМПАК;10;Остальные грузы
331552;ЦИНК;10;Остальные грузы
331567;ЦИНК-ПОРОШОК ИЛИ ЦИНК-ПЫЛЬ;10;Остальные грузы
331571;ЦИРКОНИЙ СУХОЙ, В ВИДЕ ЛИСТОВ, ПОЛОС ИЛИ ПРОВОЛОКИ В БУХТАХ;10;Остальные грузы
331586;ЦИРКОНИЙ ПОРОШОК, СУХОЙ;10;Остальные грузы
331590;ЦИРКОНИЙ ПОРОШОК, УВЛАЖНЕННЫЙ;10;Остальные грузы
331603;ЦИРКОНИЙ ГУБЧАТЫЙ;10;Остальные грузы
331618;МОЛИБДАТ АММОНИЯ;10;Остальные грузы
331622;АЛЬФЕНИД;10;Остальные грузы
332004;ПРОКАТ ЦВЕТНЫХ МЕТАЛЛОВ;3;Черные металлы
332019;КАТАНКА АЛЮМИНИЕВАЯ, ЛАТУННАЯ, МЕДНАЯ;10;Остальные грузы
332023;ПРОВОЛОКА ИЗ ЦВЕТНЫХ МЕТАЛЛОВ НЕИЗОЛИРОВАННАЯ;10;Остальные грузы
